s.index	Longitude	Latitude	Year	Month	Day	Emergencias	TRI_MEAN	TEM_MAX_MEAN	TEM_MIN_MEAN	PRESIPI_MEAN
3	-78.626146	-1.240938	2014	6	10	2	0.003518519	18	9	0
3	-78.626146	-1.240938	2014	12	14	1	0.00375	24	8	0
3	-78.628553	-1.246005	2014	6	11	1	0.002858796	21	10	0
3	-78.631159	-1.244516	2014	6	11	1	0.004780093	21	10	0
3	-78.631159	-1.244516	2014	8	30	1	0.007731481	21	8	1
3	-78.629254	-1.242191	2014	6	13	1	0.003333333	23	10	0
3	-78.629254	-1.242191	2014	11	1	1	0.001944444	20	7	7
3	-78.63092	-1.239657	2014	6	15	1	0.007731481	25	21	0
3	-78.625112	-1.241198	2014	6	16	1	0.005405093	10	7	0
3	-78.625112	-1.241198	2014	6	18	1	0.001886574	23	10	0
3	-78.625112	-1.241198	2014	8	5	1	0.003842593	20	8	0
3	-78.625112	-1.241198	2014	9	29	1	0.007002315	25	8	0
3	-78.625112	-1.241198	2014	10	31	1	0.015949074	20	9	5
3	-78.630875	-1.245414	2014	6	19	1	0.020983796	25	21	0
3	-78.630875	-1.245414	2014	7	11	1	0.006759259	26	20	0
3	-78.630875	-1.245414	2014	7	20	1	0.005833333	23	5	0
3	-78.630875	-1.245414	2014	7	25	1	0.00369213	24	9	0
3	-78.630545	-1.245101	2014	6	22	1	0.001585648	27	16	0
3	-78.630545	-1.245101	2014	8	1	1	0.034456019	26	20	0
3	-78.630545	-1.245101	2014	8	9	1	0.00900463	20	8	0
3	-78.630545	-1.245101	2014	9	8	1	0.006759259	21	8	0
3	-78.630545	-1.245101	2014	9	10	1	0.008645833	25	14	0
3	-78.630545	-1.245101	2014	10	4	1	0.00119213	25	8	0
3	-78.630545	-1.245101	2014	10	27	1	0.001886574	19	9	8
3	-78.629716	-1.239827	2014	6	24	1	0.001990741	22	16	3
3	-78.629716	-1.239827	2014	12	9	1	0.001273148	23	15	0
3	-78.62924	-1.240436	2014	6	25	1	0.001701389	22	11	2
